PolityID,PolityName,PolityType,StateAbbr
5324,Goma,Territory,
5325,Guma,Territory,
5331,Assab,Territory,
5332,Awsa Sultanate,Territory,
5401,Chokwe,Territory,
5402,Ovimbundu,Territory,
5411,Kionga,Territory,
5511,Citimukulu Bemba,Territory,
5512,Mwamba Bemba,Territory,
5513,Barotse,Territory,
5515,Maseko Ngoni,Territory,
5516,Shangane (Gaza Empire),Territory,
5517,Kazembe,Territory,
5518,Northeastern Rhodesia,Territory,
5519,Northwestern Rhodesia,Territory,
5521,Rozwi,Territory,
5522,Ndebele,Territory,
5523,Mashona,Territory,
5524,Mbelwa Ngoni,Territory,
5525,Mpezeni Ngoni,Territory,
5526,Kamanga,Territory,
5531,Zwangendaba Ngoni,Territory,
5532,Ciwere (Chewa),Territory,
5601,Zulu,Territory,
5602,Ndandwe,Territory,
5603,Mtetwa,Territory,
5606,Prince Edward and Marion Is.,Territory,
5611,"Griqualand, West",Territory,
5612,British Bechuanaland,Territory,
5613,Goshen,Territory,
5614,British Kaffraria,Territory,
5615,Lydenburg Republic,Territory,
5618,Zoutpansberg,Territory,
5621,Zululand,Territory,
5622,New Republic,Territory,
5641,"Griqualand, East",Territory,
5642,Winburg Republic,Territory,
5651,Walvis Bay,Territory,
5711,Bamangwato,Territory,
5796,Ambohimanga (Merina),Territory,
5797,Menabe,Territory,
5798,Antemoro,Territory,
5799,Boina,Territory,
5801,Nossi Be,Territory,
5802,Diego Suarez,Territory,
5803,St. Marie de Madagascar,Territory,
5804,Tromelin I.,Territory,
5805,Bassas Da India I.,Territory,
5806,Europa I.,Territory,
5807,Juan de Nova I.,Territory,
5808,Glorioso I.,Territory,
5809,Fort Dauphin,Territory,
5811,Grand Comoro,Territory,
5812,Mayotte,Territory,
5813,Anjouan,Territory,
5814,Moheli,Territory,
5815,Andruna,Territory,
5901,Rodrigues I.,Territory,
5902,Agalega Is.,Territory,
5903,Cargados Carajos Shoals,Territory,
5920,British Indian Ocean Territory,Territory,
6001,Udja,Territory,
6021,Southern zone of Spanish Morocco,Territory,
6023,Republic of the Rif,Territory,
6030,Tetuan,Territory,
6061,Alhucemas,Territory,
6062,Ceuta,Territory,
6063,Chafarinas,Territory,
6064,Melilla,Territory,
6065,Penon de Velez,Territory,
6066,Morocco-Melilla Neutral Zone,Territory,
6067,Captaincy-general of north Africa,Territory,
6151,Kaderist Algeria,Territory,
6152,Kabylie,Territory,
6153,Leased Posts in Algeria,Territory,
6161,Bizerte,Territory,
6201,Sanussid Cyrenaica,Territory,
6202,Cyrenaica,Territory,
6203,Tripolitania,Territory,
6251,Darfur,Territory,
6252,Funj Sultanate,Territory,
6253,Kordofan,Territory,
6254,Mahdist Empire,Territory,
6255,Shilluk,Territory,
6301,Mahabad,Territory,
6302,Iranian Azerbaijan,Territory,
6303,Gilan,Territory,
6304,Khuzestan,Territory,
6305,Bushire,Territory,
6306,Bandar Abbas,Territory,
6309,Kharg I.,Territory,
6401,Cilicia,Territory,
6402,Western Anatolia,Territory,
6403,Hatay (Alexandretta),Territory,
6404,Adalia,Territory,
6405,Dardanelles-Istanbul,Territory,
6451,Iraq-Saudi Arabia Neutral Zone,Territory,
6452,Iraq Occupation Zone,Territory,
6453,Iraq-Kuwait Demilitarized Zone,Territory,
6454,Kurdistan Occupation Zone,Territory,
6511,Gaza,Territory,
6512,Sinai,Territory,
6513,Sinai Demilitarized Zones,Territory,
6514,Suez Canal Zone,Territory,
6521,Golan Heights,Territory,
6522,Golan Heights Demilitarized Zone,Territory,
6523,Rouad I.,Territory,
6524,Damascus,Territory,
6525,Aleppo,Territory,
6526,Latakia (Alaouites),Territory,
6527,Jebel Druze,Territory,
6601,South Lebanon Security Zone (Free State of South Lebanon),Territory,
6631,West Bank,Territory,
6632,Israel-Jordan Neutral Zone,Territory,
6661,Al Auja,Territory,
6800,Socotra I.,Territory,
6801,Federation of South Arabia,Territory,
6802,Perim I.,Territory,
6811,West Aden Protectorate,Territory,
6812,East Aden Protectorate,Territory,
6821,Lahej,Territory,
6822,Aqrabi,Territory,
6823,Dhala,Territory,
6824,Radfan,Territory,
6825,Alawi,Territory,
6826,Haushabi,Territory,
6827,Maflahi,Territory,
6828,Shaibi,Territory,
6829,Upper Yafai,Territory,
6831,Lower Yafai,Territory,
6832,Fadhli,Territory,
6833,Beihan,Territory,
6834,Audhali,Territory,
6835,Upper Aulaqi (Sultanate),Territory,
6836,Upper Aulaqi (Sheikhdom),Territory,
6837,Lower Aulaqi,Territory,
6838,Dathina Confederation,Territory,
6841,Wahidi,Territory,
6842,Haura,Territory,
6843,Irqa,Territory,
6844,Kathiri of Saiun,Territory,
6845,Quaiti of Shihr and Mukalla,Territory,
6846,Mahri of Qishn and Socotra,Territory,
6901,Neutral Zone (Kuwait-Saudi Arabia),Territory,
6959,Buraimi Neutral Zone,Territory,
6961,Abu Dhabi,Territory,
6962,Dubai,Territory,
6963,Sharjah,Territory,
6964,Kalba,Territory,
6965,Ajman,Territory,
6966,Umm al Qawain,Territory,
6967,Ras al Khaimah,Territory,
6968,Fujairah,Territory,
6969,Abu Dhabi-Dubai Neutral Zone,Territory,
6971,Abu Musa I.,Territory,
6981,Inner Oman,Territory,
6982,Kuria Muria Is.,Territory,
6983,Oman-Sharjah Neutral Zone,Territory,
7001,Kabul,Territory,
7002,Kandahar,Territory,
7003,Herat,Territory,
7004,Badakhshan,Territory,
7010,Kokand,Territory,
7020,Bokhara,Territory,
7030,Khiva,Territory,
7040,Kazakh Lesser Horde,Territory,
7050,Kazakh Middle Horde,Territory,
7060,Kazakh Horde of Bukey,Territory,
7070,Kazakh Greater Horde,Territory,
7100,Spratley Is.,Territory,
7101,Ping-nan,Territory,
7102,Jungaria,Territory,
7103,Kashgaria,Territory,
7104,Kwangtung Territory (Leased),Territory,
7105,Weihaiwei,Territory,
7106,Tientsin,Territory,
7107,Anhwei-Fukien,Territory,
7108,Yangtze Valley,Territory,
7109,Yunnan,Territory,
7110,Kwanchowan,Territory,
7111,Manchuria,Territory,
7112,Szechwan (Sichuan),Territory,
7113,Chinghai (Tsinghai),Territory,
7114,Xinjiang (Sinkiang),Territory,
7115,Provisional Government of the Republic of China,Territory,
7116,Reformed Government of China,Territory,
7121,Inner Mongolia,Territory,
7131,Diaoyu (Senkaku) Is.,Territory,
7220,Kiauchau,Territory,
7301,Ko-mun I.,Territory,
7330,Korean Demilitarized Zone,Territory,
7351,Southern Sakhalin I.,Territory,
7352,Vladivostok,Territory,
7360,Tuvinian People's Republic,Territory,
7399,Takeshima (Dokko) I.,Territory,
7411,Bonin Is.,Territory,
7412,Volcano Is.,Territory,
7413,Marcus I.,Territory,
7414,Parece Vela I.,Territory,
7415,Tsushima Is.,Territory,
7501,Andaman and Nicobar Is.,Territory,
7502,Nicobar Is.,Territory,
7503,Coromandel Coast Posts,Territory,
7504,Tranquebar and Serampore,Territory,
7505,Hyderabad,Territory,
7507,Kashmir,Territory,
7511,Bikaner,Territory,
7512,Jaipur,Territory,
7513,Udaipur,Territory,
7514,Kishangarh,Territory,
7515,Lawa,Territory,
7516,Jodhpur,Territory,
7517,Jaisalmer,Territory,
7518,Dholpur,Territory,
7519,Karauli,Territory,
7521,Kotah,Territory,
7522,Banswara,Territory,
7523,Dungarpur,Territory,
7524,Dartabgarh,Territory,
7525,Kushalgar,Territory,
7526,Bundi,Territory,
7527,Tonk,Territory,
7528,Partabgarh,Territory,
7529,Shahpura,Territory,
7531,Katiawar,Territory,
7532,Holkar,Territory,
7533,Bhopal,Territory,
7535,Dewas,Territory,
7536,Taora,Territory,
7537,Samptar,Territory,
7538,Rewa,Territory,
7539,Sawant-Wari,Territory,
7541,Bilaspur,Territory,
